qid;query;expanded_queries
PLAIN-2;do cholesterol statin drugs cause breast cancer;['1. Are statins linked with an increased risk of developing breast cancer?', '2. Does taking cholesterol-lowering drugs increase the chance of getting breast cancer?', '3. Is there a correlation between using statins and developing breast cancer?', '4. Could statins be associated with an elevated risk of breast cancer?', '5. Are cholesterol lowering medications connected with an increased incidence of breast cancer?']
PLAIN-12;exploiting autophagy to live longer;['1. Maximizing lifespan through autophagic processes', '2. Enhancing longevity via autophagy mechanisms', '3. Longevity extension with autophagy utilization', '4. Autophagy for extended life expectancy enhancement', '5. Autophagy and its role in extending life span']
PLAIN-23;how to reduce exposure to alkylphenols through your diet;['1. Strategies for minimizing alkylphenol intake in meals', '2. Methods for reducing consumption of alkylphenols in food', '3. Techniques for decreasing exposure to alkylphenols via diet', '4. Approaches to minimize alkylphenol presence in our eating habits', '5. Ways to decrease alkylphenol levels in dietary intake']
PLAIN-33;what’s driving america’s obesity problem;"[""1. What causes America's weight gain epidemic?"", '2. Obesity in the US: what factors contribute?', '3. Driving forces behind U.S. obesity rates.', '4. The main contributors of American obesity crisis.', '5. Why are Americans so overweight?']"
PLAIN-44;who should be careful about curcumin;['1. What precautions do individuals need to take when consuming curcumin?', '2. Who is advised to exercise caution while taking curcumin supplements?', '3. Which groups of people might require more attention with respect to curcumin intake?', '4. Are there any specific populations who are recommended to avoid curcumin due to potential risks?', '5. In what contexts might someone consider reducing their exposure to curcumin?']
PLAIN-56;foods for glaucoma;['1. Foods beneficial for reducing intraocular pressure', '2. Nutritional choices for lowering eye pressure', '3. Foods recommended for managing glaucoma symptoms', '4. Diet tips for individuals with glaucoma', '5. Food options to alleviate glaucoma-related discomforts']
PLAIN-68;what is actually in chicken nuggets;"['1. What ingredients are typically found inside a chicken nugget?', '2. How are chicken nuggets prepared before being fried or baked?', '3. Which spices and seasonings commonly go into making chicken nuggets taste delicious?', '4. Can you list all of the components used to construct a standard chicken nugget?', ""5. What's the chemical composition of the fillers often included in chicken nuggets?""]"
PLAIN-78;what do meat purge and cola have in common;['1. What are similarities between meat purging process and carbonated beverages?', '2. How do meat purging techniques compare with soda production methods?', '3. What elements do these two processes share in common?', '4. What are the common characteristics of meat purification procedures and soft drinks?', '5. Which factors do meat purification and beverage manufacturing have in common?']
PLAIN-91;chronic headaches and pork parasites;"['1. ""Chronic head pain and pork parasites""', '2. ""Pork parasite symptoms and chronic headaches""', '3. ""Headaches from eating pork and parasitic infections""', '4. ""Pork parasites causing chronic headaches""', '5. ""Symptoms of chronic headaches related to pork parasites""']"
PLAIN-102;stopping heart disease in childhood;"['1. Preventing death from heart disease before adulthood begins', '2. Reducing risk of heart disease onset during youth years', '3. Early intervention strategies for preventing childhood heart disease', '4. Childhood prevention measures against heart-related illnesses', ""5. Steps to stop heart disease progression in children's lives""]"
