qid;query;expanded_queries
PLAIN-2;do cholesterol statin drugs cause breast cancer;"['1. ""Are there any studies linking statins and breast cancer risk?""', '2. ""What are the potential links between statin use and development of breast cancer? ""', '3. ""Is it true that statin medications increase breast cancer incidence?""']"
PLAIN-12;exploiting autophagy to live longer;['1. Maximizing lifespan through autophagic processes', '2. Autophagy for extended longevity', '3. Enhancing longevity with autophagy mechanisms']
PLAIN-23;how to reduce exposure to alkylphenols through your diet;['1. Strategies for minimizing intake of alkylphenol compounds in meals', '2. Techniques for decreasing consumption of alkylphenol-containing foods', '3. Methods for reducing ingestion of alkylphenols via dietary sources']
PLAIN-33;what’s driving america’s obesity problem;"[""1. Factors contributing to America's weight gain epidemic"", '2. Causes of increasing body mass in the United States population', '3. Elements behind rising rates of obesity in American society']"
PLAIN-44;who should be careful about curcumin;['1. What precautions should individuals take when consuming curcumin?', '2. Who are advised to exercise caution with curcumin intake?', '3. Which groups might need more vigilance regarding curcumin use?']
PLAIN-56;foods for glaucoma;"['1. ""Nutrition tips for managing glaucoma symptoms""', '2. ""Dietary choices for individuals with glaucoma""', '3. ""Healthy food options for people with glaucoma""']"
PLAIN-68;what is actually in chicken nuggets;"['1. What are the actual ingredients contained within a typical chicken nugget?', ""2. How do I determine what's inside a chicken nugget?"", '3. Can you disclose all of the internal components found in a chicken nugget?']"
PLAIN-78;what do meat purge and cola have in common;"['1. ""What ingredients are shared between a meal purge and a cola?""', '2. ""Similarities found in a food purge (meat) and carbonated beverage cola.""', '3. ""Common components present in a meal purge like meat and cola drink.""']"
PLAIN-91;chronic headaches and pork parasites;['1. Headaches caused by eating pork', '2. Pork parasite related chronic headache symptoms', '3. Chronic headaches linked to pork consumption']
PLAIN-102;stopping heart disease in childhood;['1. Preventing heart disease in children', '2. Childhood heart disease prevention strategies', '3. Treating and preventing childhood heart disease']
PLAIN-112;food dyes and adhd;"['1. ""Ingredients for ADHD-friendly foods""', '2. ""Healthy food options with reduced artificial colors""', '3. ""Natural coloring alternatives in diet""']"
PLAIN-123;how citrus might help keep your hands warm;['1. What natural remedies can be used for keeping hands warm?', '2. How does consuming citrus fruits contribute to hand warmth?', '3. Can eating oranges improve circulation and heat up hands?']
PLAIN-133;starving tumors of their blood supply;"['1. ""depriving cancer cells of oxygen and nutrients""', '2. ""destroying tumor vessels with targeted therapies""', '3. ""cutting off blood flow to malignant tissues""']"
PLAIN-143;are dental x-rays safe;['1. Safe alternatives for dental X-ray procedures', '2. Evaluation of safety concerns in dental X-ray imaging', '3. Safety analysis of dental radiography techniques']
PLAIN-153;how should i take probiotics;['1. What are some effective methods for consuming probiotics?', '2. How can I incorporate probiotics into my diet effectively?', '3. Which approaches should be followed when taking probiotics?']
PLAIN-165;breast cancer alcohol how much is safe;['1. Safe amounts of alcohol for those with breast cancer', '2. Alcohol consumption guidelines for individuals with breast cancer', '3. How much alcohol is considered safe for women with breast cancer?']
PLAIN-175;diet and cellulite;['1. How can I reduce cellulite through a healthy diet?', '2. What are effective diets for minimizing cellulite appearance?', '3. Tips for improving cellulite reduction with nutritious eating?']
PLAIN-186;best treatment for constipation;['1. Effective remedies for alleviating constipation', '2. Optimal methods for managing digestive discomfort caused by constipation', '3. The most beneficial strategies for easing bowel movements']
PLAIN-196;should we avoid titanium dioxide;['1. Is it advisable to prevent using titanium dioxide?', '2. Should there be a consideration against including titanium dioxide?', '3. Are there any precautions against employing titanium dioxide?']
PLAIN-207;avoiding cooked meat carcinogens;"['1. ""detoxifying diet plan for reducing cancer risk""', '2. ""meat alternatives with low carcinogenicity""', '3. ""natural protein sources free from harmful compounds""']"
PLAIN-217;plant-based diets for psoriasis;['1. Diet and Psoriasis: Plant-Based Options', '2. Plant-Based Diets for Skin Conditions: Psoriasis', '3. Psoriasis Treatment with Plant-Based Foods: Diet Plan']
PLAIN-227;increasing muscle strength with fenugreek;['1. Enhancing muscle strength through fenugreek', '2. Increasing physical strength using fenugreek', '3. Boosting muscle power with fenugreek']
PLAIN-238;how chemically contaminated are we;['1. What is the extent of chemical contamination in our environment?', '2. How much do chemicals pollute our natural resources and food supply?', '3. To what degree are humans exposed to harmful substances through their surroundings?']
PLAIN-248;treating an enlarged prostate with diet;['2. Managing a large prostate through food choices', '3. Balancing diet for a swollen prostate', '4. Prostate issues: Diet and treatment options']
PLAIN-259;optimal phytosterol dose and source;"['1. ""Recommended amounts of phytosterols for health benefits""', '2. ""Sources rich in phytosterols for dietary intake""', '3. ""Phytosterol supplementation guidelines by dosage""']"
PLAIN-270;is caffeinated tea really dehydrating;['1. Does caffeine in tea actually lead to dehydration?', '2. Is drinking caffeinated tea effective at preventing dehydration?', '3. How does caffeine affect hydration levels when consumed?']
PLAIN-280;mercury testing recommended before pregnancy;"['1. ""Should mercury levels be checked prior to conception?""', '2. ""Pregnancy tests for exposure to mercury""', '3. ""Is it advisable to test for mercury in urine during pregnancy?""']"
PLAIN-291;stool size and breast cancer risk;"['1. ""Impact of stool size on breast cancer incidence""', '2. ""Breast cancer risk factors including stool dimensions""', '3. ""Association between stool measurements and breast cancer hazard""']"
PLAIN-307;vitamin d shedding some light on the new recommendations;"['1. ""Understanding vitamin D\'s impact with recent guidelines""', '2. ""Exploring how vitamin D levels are being managed now""', '3. ""New insights into vitamin D supplementation and its importance""']"
PLAIN-320;breast cancer and diet;['1. Diet modifications for breast cancer patients', '2. Nutritional strategies in breast cancer treatment', '3. Cancer-fighting diets for women with breast cancer']
PLAIN-332;can antioxidant-rich spices counteract the effects of a high-fat meal;['1. Are there any specific antioxidant-rich spices known for their ability to mitigate the impact of consuming a substantial amount of fats?', '2. Can incorporating antioxidant-rich spices into my diet before indulging in a fatty meal enhance overall health and prevent potential negative impacts?', '3. How effective are antioxidant-rich spices like turmeric and cinnamon in protecting against adverse effects from eating a large quantity of fat? Expand your search criteria to include more nuanced information about the interaction between antioxidants and dietary fats.']
PLAIN-344;dioxins stored in our own fat may increase diabetes risk;"['1. ""Potential link between dioxin accumulation and elevated blood sugar levels""', '2. ""Dioxin presence in body fat associated with increased chance of developing type 2 diabetes""', '3. ""Diabetes risk linked to dioxin stored in human adipose tissue""']"
PLAIN-358;didnt another study show carnitine was good for the heart;"['1. ""Was there a study indicating that L-carnitine is beneficial for cardiovascular health?""', '2. ""Has research demonstrated that taurine has positive effects on the heart\'s function?""', '3. ""Could you find an analysis of studies showing that acetyl-L-carnitine aids in improving cardiac health?""']"
PLAIN-371;any update on the scary in vitro avocado data;"['1. ""latest developments regarding in vitro avocado studies""', '2. ""updates on in-vitro avocado research findings""', '3. ""current status of in vitro avocado experimentation""']"
PLAIN-383;what do you think of dr jenkins take on paleolithic diets;"['1. How does Dr. Jenkins view Paleo diet theories?', ""2. What is Dr. Jenkins' perspective on Paleolithic eating habits?"", '3. How does Dr. Jenkins assess the validity of the Paleolithic diet?']"
PLAIN-395;what about pepper plus turmeric in v8 juice;['1. Enhance your V8 with Pepper and Turmeric', '2. Spice up your V8 with Peppercorns and Turmeric', '3. Boost flavor of V8 with Pepper and Curcumin powder']
PLAIN-407;is annatto food coloring safe;['1. Can annatto be used as a natural food colorant?', '2. Is annatto considered safe for human consumption?', '3. Are there any concerns about safety of annatto in food applications?']
PLAIN-418;fresh fruit versus frozen--which is better;"['1. ""Fresh fruits vs. frozen fruits - which option is healthier?""', '2. ""Comparison of fresh fruits and frozen fruits in nutritional value""', '3. ""Advantages/disadvantages of consuming fresh fruits over frozen fruits""']"
PLAIN-430;are krill oil supplements better than fish oil capsules;['1. What are the benefits and drawbacks of using krill oil compared to fish oil for health?', '2. How do krill oil supplements compare in effectiveness versus fish oil pills for nutritional supplementation?', '3. Which is more beneficial - taking krill oil or fish oil as a dietary supplement?']
PLAIN-441;is apple cider vinegar good for you;['1. Can apple cider vinegar be beneficial?', '2. Is apple cider vinegar suitable for health benefits?', '3. What are the potential advantages of consuming apple cider vinegar?']
PLAIN-457;how can you believe in any scientific study;['1. What strategies exist for doubting scientific studies?', '2. How do people justify their disbelief in scientific findings?', '3. What are some methods of skepticism towards scientific research?']
PLAIN-468;is vitamin d3 cholecalciferol preferable to d2 ergocalciferol;['1. What are the differences between D3 and D2 forms of Vitamin D?', '2. Which form is better for Vitamin D supplementation: D3 (cholecalciferol) vs. D2 (ergocalciferol)?', '3. Is there a preference in using D3 over D2 for Vitamin D intake?']
PLAIN-478;accidents;"['1. ""car accidents""', '2. ""traffic accidents""', '3. ""motor vehicle accidents""']"
PLAIN-488;adenovirus 36;"['1. ""Infectious agent adenovirus 36""', '2. ""Adenovirus strain 36""', '3. ""Viral pathogen adenovirus 36""']"
PLAIN-499;african-american;"['1. ""African American individuals""', '2. ""Black Americans""', '3. ""Afro-American people""']"
PLAIN-510;airport scanners;['1. Security screening devices at airports', '2. X-ray machine in airports', '3. Baggage inspection systems at airfields']
PLAIN-520;alli;"['1. ""search for alli products""', '2. ""discover ingredients containing alli""', '3. ""find information about alli supplements""']"
PLAIN-531;alternative medicine;['1. holistic health remedies', '2. complementary therapies', '3. natural healing methods']
PLAIN-541;american dental association;"['1. ""orthodontic treatment by american dental association""', '2. ""oral health guidelines from american dental association""', '3. ""dental care advice from american dental association""']"
PLAIN-551;amnesia;['1. Memory loss', '2. Brain fog', '3. Amnestic disorder']
PLAIN-561;aneurysm;['1. Brain artery bulge', '2. Blood vessel swelling in brain', '3. Abnormal blood vessel dilation in cerebrovascular system']
PLAIN-571;anisakis;"['1. ""search for anisakiasis""', '2. ""find information about fish tapeworms""', '3. ""results related to canine roundworm disease""']"
PLAIN-583;antinutrients;"['1. ""nutrient antagonists""', '2. ""food inhibitors""', '3. ""phytochemicals inhibiting absorption""']"
PLAIN-593;apnea;['1. Sleep apnea', '2. Breathing disorder during sleep', '3. Snoring and breathing pauses while sleeping']
PLAIN-603;arkansas;['1. Where can I find information about Arkansas?', '2. How do I access data related to Arkansas?', '3. What resources are available for studying Arkansas?']
PLAIN-613;ascorbic acid;"['1. ""vitamin c""', '2. ""antioxidant source""', '3. ""organic ascorbic acid""']"
PLAIN-623;atkins diet;"['1. ""weight loss Atkins plan""', '2. ""Atkins meal replacement shakes""', '3. ""Atkins nutrition guide""']"
PLAIN-634;avocados;"['1. ""Best places to buy avocados nearby""', '2. ""Recipes using ripe avocados as a main ingredient""', '3. ""Health benefits of consuming avocados regularly""']"
PLAIN-645;bagels;"['1. ""pocket bagels""', '2. ""cinnamon roll with cream cheese filling""', '3. ""vegan bagel sesame seed""']"
PLAIN-660;beans;"['1. ""kidney beans""', '2. ""chickpeas""', '3. ""navy beans""']"
PLAIN-671;benzene;"['1. ""hydrocarbons containing carbon and hydrogen""', '2. ""polycyclic aromatic hydrocarbon""', '3. ""benzenoid compounds""']"
PLAIN-681;betel nuts;"['1. ""Pistachios""', '2. ""Cashews""', '3. ""Cocoanuts""']"
PLAIN-691;bioavailability;"['1. ""how does bioavailability work?""', '2. ""mechanism of bioavailability""', '3. ""determinants affecting bioavailability""']"
PLAIN-701;black raspberries;"['1. ""dark red berries""', '2. ""purple raspberry fruit""', '3. ""ripe blackberry variety""']"
PLAIN-711;blood clots;"['1. ""Disseminated intravascular coagulation""', '2. ""VTE (venous thromboembolism)""', '3. ""Hemostatic disorders""']"
PLAIN-721;bmaa;['1. Brain amino acid', '2. BMAA content in brain tissue', '3. Neurotoxic homoisovaleric acid']
PLAIN-731;bone fractures;['1. Broken bones', '2. Fractured limbs', '3. Dislocated joints']
PLAIN-741;bph;"['1. ""bowel perforation blood pressure""', '2. ""intestinal bleeding blood pressure""', '3. ""digestive tract injury blood pressure""']"
PLAIN-751;brca genes;['1. Breast cancer susceptibility gene', '2. Hereditary breast and ovarian cancer gene', '3. BRCA-related genes']
PLAIN-761;breast pain;"['1. ""Symptoms of breast discomfort""', '2. ""Pain in breasts and related issues""', '3. ""Discomfort in female breasts""']"
PLAIN-771;bronchiolitis obliterans;['1. Pulmonary fibrosis with bronchial artery occlusion', '2. Chronic obstructive pulmonary disease with interstitial lung disease', '3. Alveolar capillary dysplasia associated with interstitial lung disease Bronchiolitis obliterans is a condition characterized by inflammation and scarring of the small airways in the lungs, which can lead to difficulty breathing and other respiratory issues. The three alternative ways to express this search intent are:']
PLAIN-782;bush administration;"['1. ""Presidential term of George W. Bush""', '2. ""Bush\'s tenure in office""', '3. ""George W. Bush presidency timeline""']"
PLAIN-792;cadaverine;"['1. ""informal ammonia""', '2. ""derivative of hydroxylamine""', '3. ""unusable organic compound""']"
PLAIN-806;caloric restriction;"['1. ""energy conservation diet""', '2. ""nutritional deprivation regimen""', '3. ""dietary energy reduction program""']"
PLAIN-817;canker sores;['1. Mouth ulcers', '2. Oral sores', '3. Throat irritations']
PLAIN-827;carcinogens;"['1. ""Toxic substances causing cancer""', '2. ""Carcinogenic agents and their effects""', '3. ""Proven carcinogens in everyday products""']"
PLAIN-838;carrageenan;"['1. ""alginate extraction method""', '2. ""fucus vesiculosus cultivation""', '3. ""seaweed extract composition""']"
PLAIN-850;cauliflower;"['1. ""broccoli and cauliflower comparison""', '2. ""ingredients for cauliflower salad recipe""', '3. ""health benefits of cauliflower juice""']"
PLAIN-872;chanterelle mushrooms;['1. Wild mushroom for culinary use', '2. Red and orange fungi identification guide', '3. Edible wild mushroom recipes']
PLAIN-882;chernobyl;"['1. ""Chernobyl disaster aftermath""', '2. ""Cleanup efforts in Chernobyl""', '3. ""Radiation impact after Chernobyl accident""']"
PLAIN-892;chickpeas;"['1. ""Bean dishes made with chickpeas""', '2. ""Chickpea recipes for beginners""', '3. ""Nutritional benefits of eating chickpeas""']"
PLAIN-902;chlorophyll;"['1. ""Photosynthesis compound""', '2. ""Chlorophyll molecule breakdown""', '3. ""Plants\' green pigment extraction""']"
PLAIN-913;cinnamon;"['1. ""sweet spice for baking""', '2. ""spice substitute for sweet dishes""', '3. ""healthy cinnamon alternatives in recipes""']"
PLAIN-924;cocaine;"['1. ""prescription cocaine""', '2. ""methamphetamine like substance""', '3. ""heroin substitute drug""']"
